# x_m,y_m,w_tr_right_m,w_tr_left_m
0.1500,12.6900,1.0050,1.0050
0.1500,12.7900,1.0000,1.0000
0.1500,12.8900,1.0000,1.0000
0.1500,12.9900,0.9962,0.9962
0.1500,13.0900,0.9708,0.9708
0.2000,13.1900,1.0050,1.0050
0.2500,13.2900,1.0500,1.0500
0.2500,13.3900,1.0500,1.0500
0.2500,13.4900,1.0500,1.0500
0.3000,13.5900,1.1000,1.1000
0.3000,13.6900,1.0920,1.0920
0.3500,13.7900,1.1180,1.1180
0.3500,13.8900,1.1045,1.1045
0.4000,13.9900,1.1500,1.1500
0.4000,14.0900,1.1500,1.1500
0.4500,14.1900,1.2000,1.2000
0.4500,14.2900,1.1769,1.1769
0.4500,14.3900,1.1597,1.1597
0.5000,14.4900,1.2010,1.2010
0.5000,14.5900,1.2000,1.2000
0.5500,14.6900,1.2500,1.2500
0.5500,14.7900,1.2500,1.2500
0.6000,14.8900,1.3000,1.3000
0.6000,14.9900,1.3000,1.3000
0.6000,15.0900,1.3000,1.3000
0.6000,15.1900,1.3000,1.3000
0.6500,15.2900,1.3500,1.3500
0.6500,15.3900,1.3509,1.3509
0.7000,15.4900,1.4080,1.4080
0.7500,15.5900,1.4714,1.4714
0.7500,15.6900,1.4916,1.4916
0.7500,15.7900,1.5182,1.5182
0.7500,15.8900,1.5508,1.5508
0.7000,15.9900,1.5435,1.5435
0.7000,16.0900,1.5882,1.5882
0.6500,16.1900,1.5953,1.5953
0.6000,16.2900,1.6101,1.6101
0.5500,16.3900,1.6125,1.6125
0.5000,16.4900,1.5207,1.5207
0.4000,16.5400,1.4916,1.4916
0.3000,16.5900,1.4509,1.4509
0.2000,16.6400,1.4080,1.4080
0.1000,16.6400,1.4221,1.4221
0.0000,16.6400,1.4431,1.4431
-0.1000,16.6900,1.4142,1.4142
-0.2000,16.6900,1.4318,1.4318
-0.3000,16.6900,1.3928,1.3928
-0.4000,16.6900,1.3601,1.3601
-0.5000,16.6900,1.3342,1.3342
-0.6000,16.6900,1.3153,1.3153
-0.7000,16.6900,1.3038,1.3038
-0.8000,16.7400,1.3500,1.3500
-0.9000,16.7400,1.3500,1.3500
-1.0000,16.7400,1.3537,1.3537
-1.1000,16.7400,1.3647,1.3647
-1.2000,16.7400,1.3829,1.3829
-1.3000,16.7400,1.4080,1.4080
-1.4000,16.7400,1.4396,1.4396
-1.5000,16.7400,1.4705,1.4705
-1.6000,16.7400,1.4807,1.4807
-1.7000,16.7400,1.4637,1.4637
-1.8000,16.7900,1.4036,1.4036
-1.9000,16.7900,1.4000,1.4000
-2.0000,16.7400,1.4500,1.4500
-2.1000,16.6900,1.5000,1.5000
-2.1500,16.5900,1.4637,1.4637
-2.2500,16.4900,1.3829,1.3829
-2.3000,16.3900,1.3500,1.3500
-2.3500,16.2900,1.3000,1.3000
-2.3500,16.1900,1.3038,1.3038
-2.3500,16.0900,1.3153,1.3153
-2.3500,15.9900,1.3342,1.3342
-2.3500,15.8900,1.3509,1.3509
-2.3500,15.7900,1.3583,1.3583
-2.3500,15.6900,1.3463,1.3463
-2.3500,15.5900,1.3238,1.3238
-2.3500,15.4900,1.3086,1.3086
-2.3500,15.3900,1.3010,1.3010
-2.3500,15.2900,1.3000,1.3000
-2.4000,15.1900,1.3500,1.3500
-2.4000,15.0900,1.3500,1.3500
-2.4000,14.9900,1.3500,1.3500
-2.4000,14.8900,1.3500,1.3500
-2.4500,14.7900,1.4000,1.4000
-2.4500,14.6900,1.4000,1.4000
-2.4500,14.5900,1.4000,1.4000
-2.4500,14.4900,1.3946,1.3946
-2.5000,14.3900,1.4000,1.4000
-2.5000,14.2900,1.4009,1.4009
-2.5000,14.1900,1.4009,1.4009
-2.5000,14.0900,1.4000,1.4000
-2.5000,13.9900,1.4000,1.4000
-2.5500,13.8900,1.4000,1.4000
-2.5500,13.7900,1.4009,1.4009
-2.5500,13.6900,1.4080,1.4080
-2.5500,13.5900,1.4080,1.4080
-2.6000,13.4900,1.3946,1.3946
-2.6000,13.3900,1.4000,1.4000
-2.6000,13.2900,1.4009,1.4009
-2.6000,13.1900,1.4080,1.4080
-2.6500,13.0900,1.3730,1.3730
-2.6500,12.9900,1.3946,1.3946
-2.6500,12.8900,1.4000,1.4000
-2.6500,12.7900,1.4009,1.4009
-2.7000,12.6900,1.3583,1.3583
-2.7000,12.5900,1.3730,1.3730
-2.7000,12.4900,1.3946,1.3946
-2.7000,12.3900,1.4000,1.4000
-2.7000,12.2900,1.4000,1.4000
-2.7500,12.1900,1.3500,1.3500
-2.7500,12.0900,1.3537,1.3537
-2.7500,11.9900,1.3647,1.3647
-2.7500,11.8900,1.3829,1.3829
-2.8000,11.7900,1.3537,1.3537
-2.8000,11.6900,1.3647,1.3647
-2.8000,11.5900,1.3829,1.3829
-2.8500,11.4900,1.3500,1.3500
-2.8500,11.3900,1.3500,1.3500
