x,y,theta,velocitiess
4.946450163,-8.627790891,-1.577011538,3.564830194
4.949846406,-8.672749032,-1.582723881,3.580967452
4.953242649,-8.717707174,-1.588436225,3.597104709
4.956638892,-8.762665315,-1.594148568,3.613241967
4.960035135,-8.807623456,-1.599860912,3.629379224
4.963431378,-8.852581598,-1.605573255,3.645516482
4.966827621,-8.897539739,-1.611285598,3.661653739
4.970223864,-8.94249788,-1.616997942,3.677790997
4.97209609,-8.987475089,-1.621614815,3.693699664
4.969825713,-9.032504128,-1.623253962,3.708986975
4.967555335,-9.077533166,-1.62489311,3.724274286
4.965284957,-9.122562205,-1.626532257,3.739561596
4.963014579,-9.167591244,-1.628171405,3.754848907
4.960744201,-9.212620282,-1.629810552,3.770136218
4.958473823,-9.257649321,-1.6314497,3.785423529
4.956203445,-9.30267836,-1.633088847,3.800710839
4.953933067,-9.347707398,-1.634727995,3.81599815
4.951662689,-9.392736437,-1.636367142,3.831285461
4.949392311,-9.437765476,-1.63800629,3.846572771
4.947121933,-9.482794514,-1.639645437,3.861860082
4.944851556,-9.527823553,-1.641284585,3.877147393
4.942581178,-9.572852592,-1.642923732,3.892434704
4.9403108,-9.61788163,-1.64456288,3.907722014
4.938040422,-9.662910669,-1.646202027,3.923009325
4.935770044,-9.707939708,-1.647841175,3.938296636
4.933499666,-9.752968746,-1.649480322,3.953583946
4.931229288,-9.797997785,-1.65111947,3.968871257
4.92895891,-9.843026824,-1.652758617,3.984158568
4.926688532,-9.888055862,-1.654397765,3.999445879
4.924418154,-9.933084901,-1.656036912,4.014733189
4.922147776,-9.97811394,-1.65767606,4.0300205
4.918316474,-10.02303562,-1.656080216,4.043543486
4.914400533,-10.06795148,-1.654308958,4.056970804
4.910484592,-10.11286734,-1.652537701,4.070398122
4.90656865,-10.15778319,-1.650766443,4.08382544
4.902652709,-10.20269905,-1.648995186,4.097252758
4.898736768,-10.24761491,-1.647223928,4.110680075
4.894820826,-10.29253077,-1.64545267,4.124107393
4.890904885,-10.33744663,-1.643681413,4.137534711
4.886988944,-10.38236249,-1.641910155,4.150962029
4.883073002,-10.42727835,-1.640138898,4.164389347
4.879157061,-10.4721942,-1.63836764,4.177816664
4.87524112,-10.51711006,-1.636596383,4.191243982
4.871325178,-10.56202592,-1.634825125,4.2046713
4.867409237,-10.60694178,-1.633053867,4.218098618
4.863493296,-10.65185764,-1.63128261,4.231525936
4.859577354,-10.6967735,-1.629511352,4.244953254
4.855661413,-10.74168936,-1.627740095,4.258380571
4.851745472,-10.78660521,-1.625968837,4.271807889
4.84782953,-10.83152107,-1.62419758,4.285235207
4.843913589,-10.87643693,-1.622426322,4.298662525
4.839997648,-10.92135279,-1.620655065,4.312089843
4.836081706,-10.96626865,-1.618883807,4.325517161
4.833360061,-11.01126493,-1.613639273,4.333012305
4.831218903,-11.0563003,-1.606706553,4.337624119
4.829077745,-11.10133566,-1.599773834,4.342235933
4.826936587,-11.14637103,-1.592841114,4.346847747
4.824795429,-11.1914064,-1.585908395,4.35145956
4.822654271,-11.23644177,-1.578975675,4.356071374
4.820513113,-11.28147714,-1.572042956,4.360683188
4.818371955,-11.3265125,-1.565110237,4.365295002
4.816230797,-11.37154787,-1.558177517,4.369906816
4.81408964,-11.41658324,-1.551244798,4.37451863
4.811948482,-11.46161861,-1.544312078,4.379130443
4.809807324,-11.50665398,-1.537379359,4.383742257
4.807666166,-11.55168934,-1.53044664,4.388354071
4.805525008,-11.59672471,-1.52351392,4.392965885
4.80338385,-11.64176008,-1.516581201,4.397577699
4.801242692,-11.68679545,-1.509648481,4.402189513
4.799101534,-11.73183082,-1.502715762,4.406801326
4.796960376,-11.77686618,-1.495783042,4.41141314
4.794819218,-11.82190155,-1.488850323,4.416024954
4.79267806,-11.86693692,-1.481917604,4.420636768
4.790536902,-11.91197229,-1.474984884,4.425248582
4.788395744,-11.95700766,-1.468052165,4.429860396
4.790029125,-12.00193282,-1.456794793,4.425680189
4.794794296,-12.04676653,-1.441949193,4.414205113
4.799559468,-12.09160025,-1.427103593,4.402730036
4.80432464,-12.13643396,-1.412257993,4.39125496
4.809089811,-12.18126768,-1.397412393,4.379779883
4.813854983,-12.2261014,-1.382566793,4.368304807
4.818620155,-12.27093511,-1.367721193,4.35682973
4.823385326,-12.31576883,-1.352875593,4.345354654
4.828150498,-12.36060254,-1.338029993,4.333879577
4.83291567,-12.40543626,-1.323184393,4.322404501
4.837680841,-12.45026997,-1.308338793,4.310929424
4.842446013,-12.49510369,-1.293493193,4.299454348
4.847211185,-12.53993741,-1.278647593,4.287979272
4.851976356,-12.58477112,-1.263801993,4.276504195
